organization,location,veg_type,year_burned,freq_burned
EINP,EINP-BBG-1,grassland,2022,1
EINP,EINP-BDG-2,grassland,1985,2
EINP,EINP-BDG-2,grassland,1983,2
EINP,EINP-CRE-11,,2000,1
EINP,EINP-CRE-12,,2000,1
EINP,EINP-CRE-13,,2000,1
EINP,EINP-CRE-14,,2000,1
EINP,EINP-CRE-21,,2000,2
EINP,EINP-CRE-21,,1998,2
EINP,EINP-CRE-22,,2000,2
EINP,EINP-CRE-22,,1998,2
EINP,EINP-CRE-23,,2000,2
EINP,EINP-CRE-23,,1998,2
EINP,EINP-CRE-24,,2000,2
EINP,EINP-CRE-24,,1998,2
EINP,EINP-ETG-1,,1994,1
EINP,EINP-GMG-1,,1985,1
EINP,EINP-HAB-11,mixedwood,2004,2
EINP,EINP-HAB-11,mixedwood,1995,2
EINP,EINP-HAB-12,mixedwood,2004,2
EINP,EINP-HAB-12,mixedwood,1995,2
EINP,EINP-HAB-13,mixedwood,2004,2
EINP,EINP-HAB-13,mixedwood,1995,2
EINP,EINP-HAB-14,mixedwood,2004,2
EINP,EINP-HAB-14,mixedwood,1995,2
EINP,EINP-HAB-21,mixedwood,2004,2
EINP,EINP-HAB-21,mixedwood,1995,2
EINP,EINP-HAB-22,mixedwood,2004,2
EINP,EINP-HAB-22,mixedwood,1995,2
EINP,EINP-HAB-23,mixedwood,2004,2
EINP,EINP-HAB-23,mixedwood,1995,2
EINP,EINP-HAB-24,mixedwood,2004,2
EINP,EINP-HAB-24,mixedwood,1995,2
EINP,EINP-HBG-1,mixedwood,2004,2
EINP,EINP-HBG-1,mixedwood,1995,2
EINP,EINP-HBS-1,mixedwood,2004,2
EINP,EINP-HBS-1,mixedwood,1995,2
EINP,EINP-JOR-11,,2004,2
EINP,EINP-JOR-11,,1995,2
EINP,EINP-JOR-12,,2004,2
EINP,EINP-JOR-12,,1995,2
EINP,EINP-JOR-13,,2004,3
EINP,EINP-JOR-13,,1995,3
EINP,EINP-JOR-13,,1991,3
EINP,EINP-JOR-14,,2004,2
EINP,EINP-JOR-14,,1995,2
EINP,EINP-JOR-21,,2004,2
EINP,EINP-JOR-21,,1995,2
EINP,EINP-JOR-22,,2004,2
EINP,EINP-JOR-22,,1995,2
EINP,EINP-JOR-23,,2004,2
EINP,EINP-JOR-23,,1995,2
EINP,EINP-JOR-24,,2004,2
EINP,EINP-JOR-24,,1995,2
EINP,EINP-MDG-12,,2000,1
EINP,EINP-MOS-12,,2004,1
EINP,EINP-MOS-13,,2004,1
EINP,EINP-MOS-14,,2004,1
EINP,EINP-MOS-21,,2004,1
EINP,EINP-MOS-22,,2004,1
EINP,EINP-MOS-23,,2004,1
EINP,EINP-MOS-24,,2004,1
EINP,EINP-MUD-11,,2000,1
EINP,EINP-MUD-12,,2000,1
EINP,EINP-MUD-13,,2000,1
EINP,EINP-MUD-14,,2000,1
EINP,EINP-NHM-12,,1987,1
EINP,EINP-NHM-13,,1987,1
EINP,EINP-NHM-14,,1987,1
EINP,EINP-OLG-1,,1991,5
EINP,EINP-OLG-1,,1994,5
EINP,EINP-OLG-1,,1998,5
EINP,EINP-OLG-1,,2022,5
EINP,EINP-OLG-1,,2024,5
EINP,EINP-OST-11,,1983,5
EINP,EINP-OST-11,,1991,5
EINP,EINP-OST-11,,1991,5
EINP,EINP-OST-11,,1998,5
EINP,EINP-OST-11,,2000,5
EINP,EINP-OST-12,,1983,5
EINP,EINP-OST-12,,1991,5
EINP,EINP-OST-12,,1991,5
EINP,EINP-OST-12,,1998,5
EINP,EINP-OST-12,,2000,5
EINP,EINP-OST-13,,1983,5
EINP,EINP-OST-13,,1991,5
EINP,EINP-OST-13,,1991,5
EINP,EINP-OST-13,,1998,5
EINP,EINP-OST-13,,2000,5
EINP,EINP-OST-14,,1991,5
EINP,EINP-OST-14,,1991,5
EINP,EINP-OST-14,,1994,5
EINP,EINP-OST-14,,1998,5
EINP,EINP-OST-14,,2000,5
EINP,EINP-OXB-11,,2000,1
EINP,EINP-OXB-12,,1994,1
EINP,EINP-OXB-13,,1994,1
EINP,EINP-OXB-14,,1994,1
EINP,EINP-RAN-11,,1983,1
EINP,EINP-SHG-1,,2004,2
EINP,EINP-SHG-1,,1995,2
EINP,EINP-SHG-2,,2004,2
EINP,EINP-SHG-2,,1995,2
EINP,EINP-SHL-11,mixedwood,1985,5
EINP,EINP-SHL-11,mixedwood,1989,5
EINP,EINP-SHL-11,mixedwood,1991,5
EINP,EINP-SHL-11,mixedwood,1993,5
EINP,EINP-SHL-11,mixedwood,2023,5
EINP,EINP-SHL-12,,1985,4
EINP,EINP-SHL-12,,1989,4
EINP,EINP-SHL-12,,1991,4
EINP,EINP-SHL-12,,1993,4
EINP,EINP-SHL-13,,1985,7
EINP,EINP-SHL-13,,1988,7
EINP,EINP-SHL-13,,1989,7
EINP,EINP-SHL-13,,1991,7
EINP,EINP-SHL-13,,1993,7
EINP,EINP-SHL-13,,1995,7
EINP,EINP-SHL-13,,2004,7
EINP,EINP-SHL-14,mixedwood,1989,4
EINP,EINP-SHL-14,mixedwood,1991,4
EINP,EINP-SHL-14,mixedwood,1993,4
EINP,EINP-SHL-14,mixedwood,2024,4
EINP,EINP-SHL-21,,1991,3
EINP,EINP-SHL-21,,1993,3
EINP,EINP-SHL-21,,1998,3
EINP,EINP-SHL-22,mixedwood,1983,5
EINP,EINP-SHL-22,mixedwood,1991,5
EINP,EINP-SHL-22,mixedwood,1993,5
EINP,EINP-SHL-22,mixedwood,1998,5
EINP,EINP-SHL-22,mixedwood,2024,5
EINP,EINP-SHL-23,,1983,3
EINP,EINP-SHL-23,,1991,3
EINP,EINP-SHL-23,,1998,3
EINP,EINP-SHL-24,mixedwood,1983,5
EINP,EINP-SHL-24,mixedwood,1991,5
EINP,EINP-SHL-24,mixedwood,1993,5
EINP,EINP-SHL-24,mixedwood,1998,5
EINP,EINP-SHL-24,mixedwood,2024,5
EINP,EINP-SRS-2,grassland,1983,5
EINP,EINP-SRS-2,grassland,1988,5
EINP,EINP-SRS-2,grassland,1991,5
