PointID,Latitude,Longitude,Area,AreaCode,Route,Point,ID_Prev,Era,Block,Program,Round,Year_Burned,BURNUNIT,lastBurned
BBG01,53.64527,-112.90636,Shirley,BBG,NA,1,NA,2019,North,Grassland,1,2022,Shirley Lake,2022
BDG02,53.53329,-112.88016,Blackfoot Drainage,BDG,NA,2,NA,2024,South,Grassland,,1983,Bailey,1985
BDG02,53.53329,-112.88016,Blackfoot Drainage,BDG,NA,2,NA,2024,South,Grassland,,1985,Ranger,1985
CRE11,53.54352518,-112.9100771,Cree,CRE,1,1,cre01,1998,South,Forest,2,2000,Cree,2000
CRE12,53.54389788,-112.9169462,Cree,CRE,1,2,cre03,1998,South,Forest,2,2000,Cree,2000
CRE13,53.5441008,-112.9234829,Cree,CRE,1,3,cre05,1998,South,Forest,2,2000,Cree,2000
CRE14,53.5442374,-112.9302531,Cree,CRE,1,4,cre07,1998,South,Forest,2,2000,Cree,2000
CRE21,53.56587113,-112.9431736,Cree,CRE,2,1,NA0,2016,South,Forest,1,1998,Cree,2000
CRE21,53.56587113,-112.9431736,Cree,CRE,2,1,NA0,2016,South,Forest,1,2000,Cree,2000
CRE22,53.56321,-112.9394195,Cree,CRE,2,2,NA0,2016,South,Forest,1,1998,Cree,2000
CRE22,53.56321,-112.9394195,Cree,CRE,2,2,NA0,2016,South,Forest,1,2000,Cree,2000
CRE23,53.55842674,-112.9402975,Cree,CRE,2,3,NA0,2016,South,Forest,1,1998,Cree,2000
CRE23,53.55842674,-112.9402975,Cree,CRE,2,3,NA0,2016,South,Forest,1,2000,Cree,2000
CRE24,53.55815699,-112.9459891,Cree,CRE,2,4,NA0,2016,South,Forest,1,1998,Cree,2000
CRE24,53.55815699,-112.9459891,Cree,CRE,2,4,NA0,2016,South,Forest,1,2000,Cree,2000
ETG01,53.57506,-112.9273,East Tawayik,ETG,NA,1,NA,2024,North,Grassland,,1994,Tawayik,1994
GMG01,53.57126,-112.82466,Goose Meadow,GMG,NA,1,NA,2024,South,Grassland,,1985,Goose,1985
HAB11,53.60058137,-112.8378581,Hayburger,HAB,1,1,Hab1,2009,North,Forest,2,1995,Hayburger,2004
HAB11,53.60058137,-112.8378581,Hayburger,HAB,1,1,Hab1,2009,North,Forest,2,2004,Hayburger,2004
HAB12,53.6053086,-112.8401126,Hayburger,HAB,1,2,Hab3,2009,North,Forest,2,1995,Hayburger,2004
HAB12,53.6053086,-112.8401126,Hayburger,HAB,1,2,Hab3,2009,North,Forest,2,2004,Hayburger,2004
HAB13,53.61188152,-112.8472915,Hayburger,HAB,1,3,Hab6,2009,North,Forest,2,1995,Hayburger,2004
HAB13,53.61188152,-112.8472915,Hayburger,HAB,1,3,Hab6,2009,North,Forest,2,2004,Hayburger,2004
HAB14,53.61678368,-112.8519972,Hayburger,HAB,1,4,Hab8,2009,North,Forest,2,1995,Hayburger,2004
HAB14,53.61678368,-112.8519972,Hayburger,HAB,1,4,Hab8,2009,North,Forest,2,2004,Hayburger,2004
HAB21,53.60019908,-112.810548,Hayburger,HAB,2,1,NA0,2016,North,Forest,1,1995,Hayburger,2004
HAB21,53.60019908,-112.810548,Hayburger,HAB,2,1,NA0,2016,North,Forest,1,2004,Hayburger,2004
HAB22,53.60332495,-112.8136966,Hayburger,HAB,2,2,NA0,2016,North,Forest,1,1995,Hayburger,2004
HAB22,53.60332495,-112.8136966,Hayburger,HAB,2,2,NA0,2016,North,Forest,1,2004,Hayburger,2004
HAB23,53.60603745,-112.8176474,Hayburger,HAB,2,3,NA0,2016,North,Forest,1,1995,Hayburger,2004
HAB23,53.60603745,-112.8176474,Hayburger,HAB,2,3,NA0,2016,North,Forest,1,2004,Hayburger,2004
HAB24,53.60946824,-112.8200391,Hayburger,HAB,2,4,NA0,2016,North,Forest,1,1995,Hayburger,2004
HAB24,53.60946824,-112.8200391,Hayburger,HAB,2,4,NA0,2016,North,Forest,1,2004,Hayburger,2004
HBG01,53.60931,-112.83905,Hayburger,HBG,NA,1,NA,2019,North,Grassland,1,1995,Hayburger,2004
HBG01,53.60931,-112.83905,Hayburger,HBG,NA,1,NA,2019,North,Grassland,1,2004,Hayburger,2004
HBS01,53.61069,-112.83286,Hayburger,HBS,NA,1,NA,2019,North,Grassland,2,1995,Hayburger,2004
HBS01,53.61069,-112.83286,Hayburger,HBS,NA,1,NA,2019,North,Grassland,2,2004,Hayburger,2004
JOR11,53.65633184,-112.8339816,Jordan,JOR,1,1,Mo1,2009,North,Forest,1,1995,Jordan,2004
JOR11,53.65633184,-112.8339816,Jordan,JOR,1,1,Mo1,2009,North,Forest,1,2004,Hayburger,2004
JOR12,53.65302048,-112.8338414,Jordan,JOR,1,2,Mo3,2009,North,Forest,1,1995,Jordan,2004
JOR12,53.65302048,-112.8338414,Jordan,JOR,1,2,Mo3,2009,North,Forest,1,2004,Hayburger,2004
JOR13,53.65144318,-112.8396539,Jordan,JOR,1,3,Mo5,2009,North,Forest,1,1991,Jordan,2004
