location_id,sample_type,freq_burned,yrs_since_fire,pf_severity,veg_type,recording_date_time
527995,post-burn,1,1,mixed,montane,6/7/24 4:58
527995,post-burn,1,1,mixed,montane,6/8/24 4:58
527995,post-burn,1,1,mixed,montane,6/9/24 4:57
527995,post-burn,1,1,mixed,montane,6/10/24 4:57
489837,pre-burn,0,UN,NA,montane,4/26/23 6:50
489837,pre-burn,0,UN,NA,montane,4/27/23 6:48
489837,pre-burn,0,UN,NA,montane,4/28/23 6:46
489837,pre-burn,0,UN,NA,montane,4/29/23 6:44
489837,pre-burn,0,UN,NA,montane,4/30/23 6:42
489837,pre-burn,0,UN,NA,montane,5/1/23 6:40
489837,pre-burn,0,UN,NA,montane,5/2/23 6:38
489837,pre-burn,0,UN,NA,montane,6/7/24 5:58
489837,pre-burn,0,UN,NA,montane,6/8/24 5:58
489837,pre-burn,0,UN,NA,montane,6/9/24 5:57
489837,pre-burn,0,UN,NA,montane,6/10/24 5:57
489839,pre-burn,0,UN,NA,montane,4/26/23 6:25
489839,pre-burn,0,UN,NA,montane,4/27/23 6:23
489839,pre-burn,0,UN,NA,montane,4/28/23 6:21
489839,pre-burn,0,UN,NA,montane,4/29/23 6:19
489839,pre-burn,0,UN,NA,montane,6/7/24 5:58
489839,pre-burn,0,UN,NA,montane,6/8/24 5:58
489839,pre-burn,0,UN,NA,montane,6/9/24 5:57
489839,pre-burn,0,UN,NA,montane,6/10/24 5:57
489836,post-burn,1,1,mixed,montane,6/7/24 5:58
489836,post-burn,0,1,mixed,montane,6/7/24 5:58
489836,post-burn,0,1,mixed,montane,6/8/24 5:58
489836,post-burn,0,1,mixed,montane,6/9/24 5:57
489836,post-burn,0,1,mixed,montane,6/10/24 5:57
58746,pre-burn,5,28,UN,mixedwood,6/9/19 6:13
58746,pre-burn,5,29,UN,mixedwood,6/9/20 4:26
58749,pre-burn,4,29,UN,mixedwood,6/9/20 5:58
58751,pre-burn,4,29,UN,mixedwood,6/13/20 4:58
58753,pre-burn,4,29,UN,mixedwood,6/13/20 5:55
58749,pre-burn,4,30,UN,mixedwood,6/8/21 8:16
58751,pre-burn,4,30,UN,mixedwood,6/12/21 5:05
58753,pre-burn,4,30,UN,mixedwood,6/12/21 5:52
58705,pre-burn,2,18,UN,mixedwood,6/13/22 7:54
58706,pre-burn,2,18,UN,mixedwood,6/13/22 7:24
58707,pre-burn,2,18,UN,mixedwood,6/13/22 6:51
58708,pre-burn,2,18,UN,mixedwood,6/13/22 6:28
58709,pre-burn,2,18,UN,mixedwood,6/16/22 5:08
58710,pre-burn,2,18,UN,mixedwood,6/16/22 5:36
